post_id,brand,post_text,post_type,publish_time,likes_count,shares_count,comments_count,reactions_breakdown,hashtags,post_url,crawl_source
1387032766783062,highlands,"🇻🇳 “Hòa Bình – Biện Pháp Đạo Hàm của Sự Tương Quan” 
©️ Báo Người Lao Động

Cùng tìm đọc và sưu tầm đặc san “Hòa Bình – Biện Pháp Đạo Hàm của Sự Tương Quan” trên báo Người Lao Động, số ra ngày 29/4/2026, để có cơ hội nhận ngay 01 ly giữ nhiệt Âu Lạc!🥤

Tìm hiểu chương trình Sưu tập Đặc san - Đổi bình Âu Lạc ngay: https://www.facebook.com/share/p/1BK9DPG5HQ/

#Highlands #ViTuDo #ChatVanHoa #NgayThongNhat",unknown,2026-04-29 15:00:46,69,4,0,"{'like': 67, 'total': 67}","Highlands,ViTuDo,ChatVanHoa,NgayThongNhat",https://www.facebook.com/highlandscoffeevietnam/posts/pfbid0GRsPAbbaAa2ySwSzx9vNyJzSXCL981cV4xiRbTtrA7vMzJcBdFACrnPyvCQELLqCl,apify-update
1386838400135832,highlands,"🇻🇳 ""Hoà Bình Là Âm Điệu Của Sự Hồn Nhiên” 
©️ Báo Thanh Niên

Cùng tìm đọc và sưu tầm đặc san “Hoà Bình Là Âm Điệu Của Sự Hồn Nhiên” của Báo Thanh Niên, số ra ngày 27/4/2026, để có cơ hội nhận ngay 01 ly giữ nhiệt Âu Lạc!🥤

Tìm hiểu chương trình Sưu tập Đặc san - Đổi bình Âu Lạc ngay: https://www.facebook.com/share/p/1BK9DPG5HQ/

#Highlands #ViTuDo #ChatVanHoa #NgayThongNhat",unknown,2026-04-29 09:55:43,51,1,0,"{'like': 49, 'total': 49}","Highlands,ViTuDo,ChatVanHoa,NgayThongNhat",https://www.facebook.com/highlandscoffeevietnam/posts/pfbid0tPtg7knixKf2SYsicU2G6kZkxvgVSLVbZupc2Zh3HHzjALCfZN5ZXQsJf9uYTHDdl,apify-update
1386647560154916,highlands,"🇻🇳 ""NHỊP ĐIỆU CỦA SỰ XA XỈ MANG TÊN HOÀ BÌNH"" 
©️ Tạp chí Doanh Nhân Sài Gòn
 
Tìm đọc trọn vẹn và sưu tầm đặc san “Nhịp điệu của sự xa xỉ mang tên hoà bình” của tạp chí Doanh Nhân Sài Gòn, số ra ngày 25/4/2026, để có cơ hội nhận ngay 01 ly giữ nhiệt Âu Lạc!🥤

Tìm hiểu chương trình Sưu tập Đặc san - Đổi bình Âu Lạc ngay: https://www.facebook.com/share/p/1BK9DPG5HQ/
#Highlands #ViTuDo #ChatVanHoa #NgayThongNhat",unknown,2026-04-29 04:11:09,66,3,11,"{'like': 64, 'total': 64}","Highlands,ViTuDo,ChatVanHoa,NgayThongNhat",https://www.facebook.com/highlandscoffeevietnam/posts/pfbid0WuocKKGEFpV85TZSM1wEbfwchn2Cfpx8D7MKydBDveceWQRybb3C9bnay8NfJ9Mil,apify-update
-5616965584923661399,phuc_long,"Cùng tui khui Blind Box và nhảy cùng ly mới Phúc Long nhaaaaa.
#XéLyRinhQuà #PhúcLong58Năm #SinhNhậtPhúcLong,",video,2026-02-27 09:00:22,0,0,0,,"XéLyRinhQuà,PhúcLong58Năm,SinhNhậtPhúcLong",https://www.facebook.com/PhuclongCoffeeandTea/posts/-5616965584923661399,uc_chrome
5595748947530598996,phuc_long,"Ly giấy mới của Phúc Long lên sóng là nhảy phải bắt trend liền ngay. 
Mau ghé Phúc Long để Xé Ly Rinh Quà nha mọi người ơiii
… Xem thêm",video,2026-02-27 09:00:22,144000,0,0,,,https://www.facebook.com/PhuclongCoffeeandTea/posts/5595748947530598996,fill-detail-page
3070701906807225915,phuc_long,"Cuối tuần, tụi mình hẹn nhau ra bến tàu chill một chút nha 
… Xem thêm",photo,2026-02-27 09:00:22,0,0,0,,,https://www.facebook.com/phuclongcoffeeandtea/posts/pfbid02TQZoVaHC1MEpY3aZjHNNr1UEnWs1us9HDZ4BnBUWy9G7boXR13CLb3ByvyV1LmNSl?__cft__[0]=AZZ1sBt8n5CEd2L4KYAek5aTnbzsCtr8SO-21QbL1MU9r0xdPn9FGarckMolvIBou3-CNHOi2Av6Z1mIf82jcScNlCTMQ4C7FWmKmhF2pbPLeE68j3EMG7wndn9Jf_CLb_jf8OcKhCwFpzocmJuTL8eB03xSSC6vzoODUpbPOZw_gNhL6G4qG9QPuS63Mwn7DGE&__tn__=%2CO%2CP-R,uc_chrome
-5827672328176056306,phuc_long,Tìm đâu một chốn bình yên...… Xem thêm,video,2026-02-27 09:00:22,0,0,0,,,https://www.facebook.com/PhuclongCoffeeandTea/posts/-5827672328176056306,uc_chrome
1410016654503941,phuc_long,"📣📣📣Tin nóng
Hiện tại Phúc Long đã tìm ra hơn 10 chủ nhân may mắn trúng quà lớn, 
Mấy bà vô điểm danh cho tui biết nhaaaa 🥰🥰🥰",unknown,2026-05-08 12:00:45,451,2,191,"{'like': 450, 'total': 450}",,https://www.facebook.com/phuclongcoffeeandtea/posts/pfbid0P7g4532AxuvpAc6pLUPh8UDX33TobhjHyacDKpNor6HRenfKKrMuFu9SgbY3YPG5l,apify-update
-7879259592274776380,highlands,CÓ HẸN GIỜ CHIỀU - CHỌN TEAM NÀO CHO “IU”? … Xem thêm,photo,2026-03-06 05:00:08,0,0,0,,,https://www.facebook.com/highlandscoffeevietnam/posts/pfbid02zHcTVKw5GKQCWvXyvQaTgbzRPpUeR4ZkXGXej55QUjTTo1XXXmFrgqE8WLFGgszRl?__cft__[0]=AZYdaZZz6elk3bYbUx4rb2Umz-OVLkmH9c-OIL69sEWUx5PcDc94AF5GTf2Y9qx_nHSgZg-HS_BbueAJQHNeyI92DxDJTqj1v2IQ83sOAMyHePWtaDwnM8EwGcFmMFcg5Fz8Vi0rKYVA1oJU8TBd3ogLa0Dv-vfTSgkS5d4knjt98MsB6XddJU3tYrC_LJ9JUuk&__tn__=%2CO%2CP-R,uc_chrome
-7484029715365383036,highlands,HÚT MATCHAĐI - TĂNG MOOD NĂNG LƯỢNG … Xem thêm,photo,2026-03-06 05:00:08,0,0,0,,,https://www.facebook.com/highlandscoffeevietnam/posts/pfbid02Xp7oFpMpPX1ybqUTSn94caeKq4C2qEjX2ZsMvLSZUvdtrivhyQbDPUg5AknRpx8al?__cft__[0]=AZb-Et_wXDmbBosMUl6JAvEMJqKwwt_mwD1biyNdV_2_kvD3eXmcBWyHoCRzcwTFF_fl4GJDM_1G3nNHkZ8UcwQxipmB1olpqmeDsims5Hvzg0QOenrhvJn48y0voqZNmxA6c1UpbtsBQCejLT364VdV6Ya6D_Nxs4QgJkW9hZq73IPIF3LA2D3nikTa7oisYLM&__tn__=%2CO%2CP-R,uc_chrome
