date,brand,platform,total_records,total_engagement,total_comments,total_shares,total_views,positive_count,neutral_count,negative_count,risk_count,net_sentiment_score
2022-01-21,phuc_long,,3,0.0,0.0,0.0,0.0,0,3,0,0,0.0
2022-01-22,phuc_long,,8,8.0,8.0,0.0,0.0,1,7,0,0,0.125
2022-01-23,phuc_long,,7,7.0,7.0,0.0,0.0,1,6,0,0,0.14285714285714285
2022-01-24,phuc_long,,3,3.0,3.0,0.0,0.0,1,2,0,0,0.3333333333333333
2022-01-25,phuc_long,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2022-01-30,phuc_long,,69,69.0,69.0,0.0,0.0,9,56,4,7,0.07246376811594203
2022-02-03,phuc_long,,65,65.0,65.0,0.0,0.0,14,48,3,5,0.16923076923076924
2022-02-04,phuc_long,,5,5.0,5.0,0.0,0.0,0,5,0,0,0.0
2022-07-01,phuc_long,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2022-07-21,phuc_long,,2,1.0,1.0,0.0,0.0,1,1,0,0,0.5
2022-09-02,phuc_long,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2022-09-03,phuc_long,,18,18.0,18.0,0.0,0.0,10,8,0,1,0.5555555555555556
2022-09-04,phuc_long,,9,9.0,9.0,0.0,0.0,3,6,0,1,0.3333333333333333
2022-10-08,phuc_long,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2022-10-22,phuc_long,,1,1.0,1.0,0.0,0.0,1,0,0,1,1.0
2022-11-06,phuc_long,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2022-11-12,phuc_long,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2022-11-21,phuc_long,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2022-12-10,phuc_long,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2022-12-21,phuc_long,,4,3.0,3.0,0.0,0.0,0,4,0,0,0.0
2022-12-22,phuc_long,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2022-12-23,phuc_long,,2,2.0,2.0,0.0,0.0,1,1,0,0,0.5
2022-12-25,phuc_long,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-01-15,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-01-17,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-01-19,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-01-21,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-01-24,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-01-25,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2023-01-28,highlands,,3,3.0,3.0,0.0,0.0,0,3,0,0,0.0
2023-01-29,highlands,,3,3.0,3.0,0.0,0.0,1,2,0,0,0.3333333333333333
2023-01-30,highlands,,3,3.0,3.0,0.0,0.0,2,0,1,1,0.3333333333333333
2023-01-31,highlands,,2,2.0,2.0,0.0,0.0,2,0,0,0,1.0
2023-02-26,highlands,,1,1.0,1.0,0.0,0.0,0,0,1,1,-1.0
2023-03-04,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-03-05,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-03-13,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-03-17,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-03-18,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-03-31,highlands,,2,0.0,0.0,0.0,0.0,0,2,0,0,0.0
2023-03-31,phuc_long,,1,1.0,1.0,0.0,0.0,1,0,0,1,1.0
2023-04-01,highlands,,23,23.0,23.0,0.0,0.0,9,12,2,1,0.30434782608695654
2023-04-02,highlands,,19,19.0,19.0,0.0,0.0,4,10,5,1,-0.05263157894736842
2023-04-03,highlands,,22,21.0,21.0,0.0,0.0,5,11,6,0,-0.045454545454545456
2023-04-04,highlands,,19,19.0,19.0,0.0,0.0,8,8,3,2,0.2631578947368421
2023-04-05,highlands,,19,19.0,19.0,0.0,0.0,5,12,2,0,0.15789473684210525
2023-04-06,highlands,,10,10.0,10.0,0.0,0.0,2,6,2,1,0.0
2023-04-07,highlands,,10,10.0,10.0,0.0,0.0,3,6,1,1,0.2
2023-04-08,highlands,,9,9.0,9.0,0.0,0.0,3,6,0,0,0.3333333333333333
2023-04-09,highlands,,4,4.0,4.0,0.0,0.0,3,1,0,0,0.75
2023-04-10,highlands,,6,6.0,6.0,0.0,0.0,0,4,2,0,-0.3333333333333333
2023-04-11,highlands,,9,9.0,9.0,0.0,0.0,2,5,2,0,0.0
2023-04-12,highlands,,5,4.0,4.0,0.0,0.0,1,3,1,0,0.0
2023-04-13,highlands,,3,3.0,3.0,0.0,0.0,1,2,0,0,0.3333333333333333
2023-04-14,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2023-04-15,highlands,,2,2.0,2.0,0.0,0.0,1,1,0,0,0.5
2023-04-16,highlands,,4,4.0,4.0,0.0,0.0,1,3,0,1,0.25
2023-04-17,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-04-18,highlands,,4,4.0,4.0,0.0,0.0,0,4,0,0,0.0
2023-04-19,highlands,,3,3.0,3.0,0.0,0.0,2,1,0,0,0.6666666666666666
2023-04-20,highlands,,9,9.0,9.0,0.0,0.0,1,6,2,1,-0.1111111111111111
2023-04-21,highlands,,6,6.0,6.0,0.0,0.0,2,3,1,0,0.16666666666666666
2023-04-22,highlands,,8,8.0,8.0,0.0,0.0,4,2,2,0,0.25
2023-04-23,highlands,,8,8.0,8.0,0.0,0.0,3,3,2,0,0.125
2023-04-24,highlands,,3,3.0,3.0,0.0,0.0,2,1,0,0,0.6666666666666666
2023-04-25,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-04-26,highlands,,2,2.0,2.0,0.0,0.0,0,1,1,1,-0.5
2023-04-27,highlands,,3,2.0,2.0,0.0,0.0,0,3,0,1,0.0
2023-04-28,highlands,,4,4.0,4.0,0.0,0.0,0,3,1,0,-0.25
2023-04-29,highlands,,8,8.0,8.0,0.0,0.0,1,4,3,0,-0.25
2023-04-30,highlands,,7,7.0,7.0,0.0,0.0,3,2,2,0,0.14285714285714285
2023-05-01,highlands,,6,6.0,6.0,0.0,0.0,1,5,0,0,0.16666666666666666
2023-05-02,highlands,,3,3.0,3.0,0.0,0.0,0,3,0,0,0.0
2023-05-03,highlands,,8,8.0,8.0,0.0,0.0,2,6,0,0,0.25
2023-05-04,highlands,,5,5.0,5.0,0.0,0.0,2,3,0,0,0.4
2023-05-05,highlands,,2,2.0,2.0,0.0,0.0,2,0,0,0,1.0
2023-05-06,highlands,,9,9.0,9.0,0.0,0.0,3,6,0,2,0.3333333333333333
2023-05-07,highlands,,7,7.0,7.0,0.0,0.0,3,3,1,0,0.2857142857142857
2023-05-08,highlands,,4,4.0,4.0,0.0,0.0,1,2,1,1,0.0
2023-05-09,highlands,,9,9.0,9.0,0.0,0.0,3,5,1,1,0.2222222222222222
2023-05-10,highlands,,3,3.0,3.0,0.0,0.0,0,2,1,0,-0.3333333333333333
2023-05-11,highlands,,3,3.0,3.0,0.0,0.0,2,0,1,2,0.3333333333333333
2023-05-12,highlands,,5,5.0,5.0,0.0,0.0,3,2,0,0,0.6
2023-05-13,highlands,,5,5.0,5.0,0.0,0.0,1,4,0,0,0.2
2023-05-14,highlands,,3,3.0,3.0,0.0,0.0,1,0,2,0,-0.3333333333333333
2023-05-15,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-05-16,highlands,,4,3.0,3.0,0.0,0.0,0,4,0,0,0.0
2023-05-17,highlands,,3,3.0,3.0,0.0,0.0,1,2,0,1,0.3333333333333333
2023-05-18,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2023-05-19,highlands,,6,6.0,6.0,0.0,0.0,1,4,1,0,0.0
2023-05-20,highlands,,6,6.0,6.0,0.0,0.0,0,5,1,0,-0.16666666666666666
2023-05-21,highlands,,10,10.0,10.0,0.0,0.0,3,7,0,0,0.3
2023-05-22,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,1,0.0
2023-05-23,highlands,,14,13.0,13.0,0.0,0.0,4,10,0,2,0.2857142857142857
2023-05-24,highlands,,5,5.0,5.0,0.0,0.0,1,4,0,0,0.2
2023-05-25,highlands,,6,5.0,5.0,0.0,0.0,2,4,0,1,0.3333333333333333
2023-05-26,highlands,,5,5.0,5.0,0.0,0.0,3,1,1,0,0.4
2023-05-27,highlands,,2,2.0,2.0,0.0,0.0,1,1,0,0,0.5
2023-05-28,highlands,,3,3.0,3.0,0.0,0.0,2,1,0,0,0.6666666666666666
2023-05-29,highlands,,9,9.0,9.0,0.0,0.0,6,3,0,0,0.6666666666666666
2023-05-30,highlands,,8,8.0,8.0,0.0,0.0,5,3,0,0,0.625
2023-05-31,highlands,,11,11.0,11.0,0.0,0.0,1,10,0,2,0.09090909090909091
2023-06-01,highlands,,10,10.0,10.0,0.0,0.0,2,6,2,0,0.0
2023-06-02,highlands,,11,11.0,11.0,0.0,0.0,6,3,2,0,0.36363636363636365
2023-06-03,highlands,,5,5.0,5.0,0.0,0.0,0,3,2,0,-0.4
2023-06-04,highlands,,6,6.0,6.0,0.0,0.0,1,2,3,1,-0.3333333333333333
2023-06-05,highlands,,3,3.0,3.0,0.0,0.0,1,1,1,0,0.0
2023-06-06,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-06-07,highlands,,2,2.0,2.0,0.0,0.0,2,0,0,0,1.0
2023-06-08,highlands,,2,2.0,2.0,0.0,0.0,0,1,1,1,-0.5
2023-06-09,highlands,,4,4.0,4.0,0.0,0.0,1,3,0,0,0.25
2023-06-10,highlands,,4,4.0,4.0,0.0,0.0,2,2,0,0,0.5
2023-06-11,highlands,,3,3.0,3.0,0.0,0.0,1,2,0,0,0.3333333333333333
2023-06-12,highlands,,3,2.0,2.0,0.0,0.0,2,1,0,1,0.6666666666666666
2023-06-13,highlands,,6,6.0,6.0,0.0,0.0,4,2,0,1,0.6666666666666666
