brand,platform,content_pillar,total_records,total_engagement,positive_count,negative_count,avg_sentiment_score
highlands,facebook,di_san_chat_luong,761,262158,418,16,1.3495400788436267
highlands,facebook,khuyen_mai_minigame,840,336575,456,17,1.2297619047619048
highlands,facebook,other,3966,81210,852,100,0.2415532022188603
highlands,facebook,phong_cach_trai_nghiem,548,113166,309,17,1.2664233576642336
highlands,facebook,trai_nghiem_so_ket_noi,212,34912,100,12,0.839622641509434
highlands,tiktok,di_san_chat_luong,546,546,233,43,0.684981684981685
highlands,tiktok,khuyen_mai_minigame,366,366,107,27,0.3360655737704918
highlands,tiktok,other,4518,852444,1080,267,0.2965914121292607
highlands,tiktok,phong_cach_trai_nghiem,238,238,78,11,0.4369747899159664
highlands,tiktok,trai_nghiem_so_ket_noi,35,35,13,3,0.4
katinat,facebook,di_san_chat_luong,512,248119,285,5,1.2578125
katinat,facebook,khuyen_mai_minigame,407,266653,269,3,1.5601965601965602
katinat,facebook,other,3785,272041,971,60,0.31254953764861293
katinat,facebook,phong_cach_trai_nghiem,348,105194,200,4,1.0488505747126438
katinat,facebook,trai_nghiem_so_ket_noi,213,133225,167,3,1.727699530516432
katinat,tiktok,di_san_chat_luong,112,112,43,1,0.625
katinat,tiktok,khuyen_mai_minigame,212,212,42,0,0.2688679245283019
katinat,tiktok,other,2404,394339,592,50,0.29367720465890185
katinat,tiktok,phong_cach_trai_nghiem,115,115,50,2,0.5652173913043478
katinat,tiktok,trai_nghiem_so_ket_noi,25,25,9,0,0.48
phuc_long,facebook,di_san_chat_luong,814,512730,598,16,2.0307125307125307
phuc_long,facebook,khuyen_mai_minigame,727,639492,509,11,1.5281980742778543
phuc_long,facebook,other,2940,1110997,753,50,0.30918367346938774
phuc_long,facebook,phong_cach_trai_nghiem,293,530332,162,11,1.21160409556314
phuc_long,facebook,trai_nghiem_so_ket_noi,148,188469,91,8,1.2837837837837838
phuc_long,tiktok,di_san_chat_luong,206,206,127,3,0.9077669902912622
phuc_long,tiktok,khuyen_mai_minigame,288,288,85,5,0.3263888888888889
phuc_long,tiktok,other,1666,188545,536,36,0.40516206482593037
phuc_long,tiktok,phong_cach_trai_nghiem,92,92,30,2,0.4673913043478261
phuc_long,tiktok,trai_nghiem_so_ket_noi,33,33,2,0,0.06060606060606061
