source_row_id,source_name,platform,record_type,text,brand,created_at,date,hour,weekday,time_slot,like_count,comment_count,share_count,view_count,engagement_total,engagement_rate,comment_depth,share_rate,sentiment_label,sentiment_score,risk_group,risk_keyword_flag,content_pillar,caption_length,is_phuc_long,rank_score
332,facebook_posts_clean.csv,facebook,post,"Phuc Long Coffee & Tea e p o s r S t d n o : 2 9 0 0 9 2 4 m ú 1 á t 2 u 8 t f 4 7 0 l c h 5 8 4 g 5 1 h 3 l 5 t 3 u 0 u 5 n 1 i 1 m 7 Ting ting! Bạn có 1 lời mời tham gia Sinh Nhật 58 Năm từ Phúc Long 💌🎈 Mừng tuổi mới rực rỡ, Phúc Long chính thức kích hoạt chuỗi sự kiện “6 ngày ” đặc biệt tại 3 CỬA HÀNG FLAGSHIP! Mang đến cho các ""Tâm Giao"" loạt trải nghiệm độc quyền, vui hội trọn cả ngày dài: 📸 Photobooth lên hình cực chất, góc check-in ""triệu like"". 🎯 Mini-game dễ chơi dễ trúng, giật quà cực đã. 🍵 Trải nghiệm Workshop Góc Trà Nghệ Nhân (Tea Master Workshop) đỉnh cao 🎂 Tâm điểm của chuỗi lễ hội sẽ là khoảnh khắc đón sinh nhật cùng Phúc Long. Tụi mình cùng nhau thổi nến, cắt bánh và lưu giữ những kỷ niệm cột mốc 58 năm thật rực rỡ nha! ✨ HIGHLIGHT ĐẶC BIỆT KHÔNG THỂ BỎ LỠ: Đêm nhạc Acoustic diễn ra từ 19H ở cả 3 cửa hàng flagship Phoenix, Unicorn và Dragon. Chi tiết chương trình, xem hình dưới post nha. Ghé ngay các cửa hàng Flagship Phúc Long để cùng vui hội sinh nhật: 📍Từ 20-21/5/2026 tại Phúc Long Phoenix: 283D - 285 Cách Mạng Tháng 8, Phường Hòa Hưng, Thành phố Hồ Chí Minh 📍Từ 23-24/5/2026 tại Phúc Long Unicorn: 1F-32 Tầng 1 Lotte Mart Nam Sài Gòn (Quận 7), 469 Nguyễn Hữu Thọ, Phường Tân Hưng, Thành phố Hồ Chí Minh 📍Từ 30-31/5/2026 tại Phúc Long Dragon: 82-84 Hàng Điếu, Phường Hoàn Kiếm, Thành phố Hà Nội Thư đến tay rồi, đi ngay kẻo muộn. Đến và chung vui cùng sinh nhật Phúc Long 58 Năm với nhiều hoạt động hấp dẫn nha😍😍 #PhúcLong #HươngSắcVịNghệ #PhúcLong58Năm #SinhNhậtPhúcLong",phuc_long,,NaT,,,unknown,323000,3000,0,,326000,,0.009202453987730062,,positive,4,app_payment_promotion,True,phong_cach_trai_nghiem,1507,True,326020.0
191,facebook_posts_clean.csv,facebook,post,PHÚC LONG 58 NĂM - HÀNH TRÌNH HƯƠNG SẮC VỊ NGHỆ… Xem thêm,phuc_long,2026-02-27 09:00:22,2026-02-27,9.0,Friday,morning_6_11,170000,1000,0,,171000,,0.005847953216374269,,positive,1,none,False,other,57,True,171005.0
333,facebook_posts_clean.csv,facebook,post,PHÚC LONG GHI DẤU CỘT MỐC 58 NĂM 21 tháng 5 BỘ BA “MỸ NHÂN” ĐÃ SẴN SÀNG – HỘI MƠ ĐÀO RỘN RÀNG ĐÓN TÂM GIAO 24 tháng 4,phuc_long,,NaT,,,unknown,143000,3000,0,,146000,,0.02054794520547945,,positive,1,none,False,other,117,True,146005.0
334,facebook_posts_clean.csv,facebook,post,PHÚC LONG GHI DẤU CỘT MỐC 58 NĂM 21 tháng 5 BỘ BA “MỸ NHÂN” ĐÃ SẴN SÀNG – HỘI MƠ ĐÀO RỘN RÀNG ĐÓN TÂM GIAO 24 tháng 4,phuc_long,,NaT,,,unknown,145000,4,0,,145004,,2.7585445918733275e-05,,positive,1,none,False,other,117,True,145009.0
359,facebook_posts_clean.csv,facebook,post,"Tác giả Phuc Long Coffee & Tea Phúc Long đang rất sẵn sàng đón tiếp các khách yêu đến với các không gian trò chơi, check in nhận quà từ 08h00-12h00, 16h00 - … 20 giờ Trả lời",phuc_long,,NaT,,,unknown,144000,23,0,,144023,,0.00015969671510800357,,neutral,0,none,False,phong_cach_trai_nghiem,173,True,144023.0
79,facebook_posts_clean.csv,facebook,post,"58 Tuổi, nhưng Phúc Long vẫn là Iem bé nha mấy bà. Đón sinh nhật Phúc Long với diện mạo mới xinh yêu #XéLyRinhQuà #PhúcLong58Năm #SinhNhậtPhúcLong",phuc_long,2026-02-27 09:00:22,2026-02-27,9.0,Friday,morning_6_11,144000,0,0,,144000,,0.0,,positive,3,none,False,khuyen_mai_minigame,146,True,144015.0
579,facebook_posts_clean.csv,facebook,post,"Hồng trà đát cam nên để ly kiểu này mới ngon, giờ gọi hồng trà đát cam toàn để ly xanh vừa xấu cảm giác ko ngon như ly trong suốt.",phuc_long,,NaT,,,unknown,144000,5,0,,144005,,3.472101663136697e-05,,positive,2,none,False,di_san_chat_luong,130,True,144015.0
186,facebook_posts_clean.csv,facebook,post,Phúc Long 48 Phan Đình Phùng xin chào Bạn Tâm Giao Hà Nội!… Xem thêm,phuc_long,2026-02-27 09:00:22,2026-02-27,9.0,Friday,morning_6_11,144000,1,0,,144001,,6.944396219470698e-06,,positive,2,none,False,other,68,True,144011.0
197,facebook_posts_clean.csv,facebook,post,Phúc Long 48 Phan Đình Phùng xin chào Bạn Tâm Giao Hà Nội!… Xem thêm,phuc_long,2026-02-27 09:00:22,2026-02-27,9.0,Friday,morning_6_11,144000,1,0,,144001,,6.944396219470698e-06,,positive,2,none,False,other,68,True,144011.0
562,facebook_posts_clean.csv,facebook,post,VỀ PHAN RANG ĐI “PHÚC LONG” ƠII,phuc_long,,NaT,,,unknown,144000,3,0,,144003,,2.0832899314597614e-05,,positive,1,none,False,other,31,True,144008.0
