brand,platform,risk_group,sentiment_label,comment_count,risk_comment_count,avg_sentiment_score
highlands,facebook,app_payment_promotion,negative,55,55,-1.0
highlands,facebook,app_payment_promotion,neutral,400,400,0.0
highlands,facebook,app_payment_promotion,positive,199,199,1.4472361809045227
highlands,facebook,app_payment_promotion|service_store,negative,2,2,-1.5
highlands,facebook,app_payment_promotion|service_store,neutral,12,12,0.0
highlands,facebook,app_payment_promotion|service_store,positive,11,11,1.5454545454545454
highlands,facebook,app_payment_promotion|stock_gift,positive,1,1,2.0
highlands,facebook,app_payment_promotion|taste_quality,negative,1,1,-1.0
highlands,facebook,app_payment_promotion|taste_quality,neutral,2,2,0.0
highlands,facebook,app_payment_promotion|taste_quality,positive,21,21,2.2857142857142856
highlands,facebook,none,negative,59,0,-1.0
highlands,facebook,none,neutral,3257,0,0.0
highlands,facebook,none,positive,949,0,1.244467860906217
highlands,facebook,service_store,neutral,29,29,0.0
highlands,facebook,service_store,positive,9,9,1.3333333333333333
highlands,facebook,stock_gift,negative,2,2,-1.0
highlands,facebook,stock_gift,neutral,8,8,0.0
highlands,facebook,stock_gift,positive,1,1,1.0
highlands,facebook,taste_quality,negative,5,5,-1.0
highlands,facebook,taste_quality,neutral,5,5,0.0
highlands,facebook,taste_quality,positive,14,14,2.0714285714285716
highlands,facebook,taste_quality|service_store,positive,2,2,4.0
highlands,tiktok,app_payment_promotion,negative,45,45,-1.0222222222222221
highlands,tiktok,app_payment_promotion,neutral,237,237,0.0
highlands,tiktok,app_payment_promotion,positive,96,96,1.53125
highlands,tiktok,app_payment_promotion|service_store,negative,3,3,-1.6666666666666667
highlands,tiktok,app_payment_promotion|service_store,neutral,5,5,0.0
highlands,tiktok,app_payment_promotion|service_store,positive,5,5,1.4
highlands,tiktok,app_payment_promotion|taste_quality,negative,2,2,-1.0
highlands,tiktok,app_payment_promotion|taste_quality,neutral,2,2,0.0
highlands,tiktok,app_payment_promotion|taste_quality,positive,2,2,3.0
highlands,tiktok,app_payment_promotion|taste_quality|service_store,neutral,1,1,0.0
highlands,tiktok,none,negative,248,0,-1.0725806451612903
highlands,tiktok,none,neutral,3282,0,0.0
highlands,tiktok,none,positive,1348,0,1.5422848664688427
highlands,tiktok,service_store,negative,7,7,-1.1428571428571428
highlands,tiktok,service_store,neutral,45,45,0.0
highlands,tiktok,service_store,positive,29,29,1.3103448275862069
highlands,tiktok,stock_gift,negative,2,2,-1.0
highlands,tiktok,stock_gift,neutral,5,5,0.0
highlands,tiktok,stock_gift,positive,2,2,2.0
highlands,tiktok,taste_quality,negative,44,44,-1.0909090909090908
highlands,tiktok,taste_quality,neutral,14,14,0.0
highlands,tiktok,taste_quality,positive,28,28,1.7857142857142858
highlands,tiktok,taste_quality|service_store,positive,1,1,1.0
katinat,facebook,app_payment_promotion,negative,5,5,-1.0
katinat,facebook,app_payment_promotion,neutral,249,249,0.0
katinat,facebook,app_payment_promotion,positive,195,195,1.6256410256410256
katinat,facebook,app_payment_promotion|service_store,positive,16,16,2.125
katinat,facebook,app_payment_promotion|taste_quality,negative,1,1,-2.0
katinat,facebook,app_payment_promotion|taste_quality,positive,14,14,2.642857142857143
katinat,facebook,app_payment_promotion|taste_quality|service_store,neutral,1,1,0.0
katinat,facebook,app_payment_promotion|taste_quality|service_store,positive,1,1,1.0
katinat,facebook,none,negative,27,0,-1.0740740740740742
katinat,facebook,none,neutral,2582,0,0.0
katinat,facebook,none,positive,850,0,1.224705882352941
katinat,facebook,service_store,neutral,5,5,0.0
katinat,facebook,service_store,positive,17,17,1.588235294117647
katinat,facebook,taste_quality,negative,19,19,-1.0526315789473684
katinat,facebook,taste_quality,neutral,13,13,0.0
katinat,facebook,taste_quality,positive,15,15,1.7333333333333334
katinat,facebook,taste_quality|service_store,negative,2,2,-1.0
katinat,facebook,taste_quality|service_store,positive,2,2,2.0
katinat,tiktok,app_payment_promotion,negative,15,15,-1.0
katinat,tiktok,app_payment_promotion,neutral,91,91,0.0
katinat,tiktok,app_payment_promotion,positive,50,50,1.56
katinat,tiktok,app_payment_promotion|service_store,neutral,2,2,0.0
katinat,tiktok,app_payment_promotion|service_store,positive,1,1,1.0
katinat,tiktok,app_payment_promotion|taste_quality,negative,1,1,-1.0
katinat,tiktok,app_payment_promotion|taste_quality,positive,8,8,2.625
katinat,tiktok,none,negative,30,0,-1.0
katinat,tiktok,none,neutral,1725,0,0.0
katinat,tiktok,none,positive,667,0,1.2743628185907045
katinat,tiktok,service_store,neutral,9,9,0.0
katinat,tiktok,service_store,positive,2,2,2.0
katinat,tiktok,stock_gift,neutral,1,1,0.0
katinat,tiktok,taste_quality,negative,7,7,-1.0
katinat,tiktok,taste_quality,neutral,1,1,0.0
katinat,tiktok,taste_quality,positive,8,8,1.125
phuc_long,facebook,app_payment_promotion,negative,25,25,-1.0
phuc_long,facebook,app_payment_promotion,neutral,143,143,0.0
phuc_long,facebook,app_payment_promotion,positive,144,144,1.6041666666666667
phuc_long,facebook,app_payment_promotion|service_store,neutral,1,1,0.0
phuc_long,facebook,app_payment_promotion|service_store,positive,5,5,1.8
phuc_long,facebook,app_payment_promotion|stock_gift,neutral,1,1,0.0
phuc_long,facebook,app_payment_promotion|stock_gift,positive,2,2,2.0
phuc_long,facebook,app_payment_promotion|taste_quality,positive,3,3,4.0
phuc_long,facebook,none,negative,39,0,-1.0
phuc_long,facebook,none,neutral,2405,0,0.0
phuc_long,facebook,none,positive,972,0,1.316872427983539
phuc_long,facebook,service_store,neutral,35,35,0.0
phuc_long,facebook,service_store,positive,23,23,2.0
phuc_long,facebook,stock_gift,negative,11,11,-1.0909090909090908
phuc_long,facebook,stock_gift,neutral,1,1,0.0
phuc_long,facebook,stock_gift|service_store,negative,1,1,-1.0
phuc_long,facebook,taste_quality,negative,2,2,-1.0
phuc_long,facebook,taste_quality,neutral,5,5,0.0
phuc_long,facebook,taste_quality,positive,38,38,2.789473684210526
phuc_long,facebook,taste_quality|service_store,negative,1,1,-1.0
phuc_long,facebook,taste_quality|service_store,positive,1,1,2.0
phuc_long,tiktok,app_payment_promotion,negative,5,5,-1.0
phuc_long,tiktok,app_payment_promotion,neutral,84,84,0.0
phuc_long,tiktok,app_payment_promotion,positive,35,35,1.2
phuc_long,tiktok,app_payment_promotion|service_store,neutral,4,4,0.0
phuc_long,tiktok,app_payment_promotion|service_store,positive,3,3,1.3333333333333333
phuc_long,tiktok,app_payment_promotion|taste_quality,positive,1,1,3.0
phuc_long,tiktok,none,negative,36,0,-1.0555555555555556
phuc_long,tiktok,none,neutral,1097,0,0.0
phuc_long,tiktok,none,positive,684,0,1.3216374269005848
phuc_long,tiktok,service_store,negative,1,1,-1.0
phuc_long,tiktok,service_store,neutral,29,29,0.0
phuc_long,tiktok,service_store,positive,20,20,1.45
phuc_long,tiktok,stock_gift,negative,1,1,-1.0
phuc_long,tiktok,stock_gift,neutral,2,2,0.0
phuc_long,tiktok,stock_gift,positive,1,1,2.0
phuc_long,tiktok,taste_quality,negative,3,3,-1.3333333333333333
phuc_long,tiktok,taste_quality,neutral,3,3,0.0
phuc_long,tiktok,taste_quality,positive,35,35,1.8571428571428572
phuc_long,tiktok,taste_quality|service_store,positive,1,1,1.0
