source,target,weight,title
topic_36,brand_phuc_long,3,topic-brand
topic_36,platform_facebook,2,topic-platform
topic_36,risk_product_quality_risk,2,topic-risk
topic_36,confidence_medium,2,topic-confidence
topic_36,focus_phuc_long,1,topic-focus
topic_42,brand_phuc_long,3,topic-brand
topic_42,platform_tiktok,2,topic-platform
topic_42,risk_product_quality_risk,2,topic-risk
topic_42,confidence_medium,2,topic-confidence
topic_42,focus_phuc_long,1,topic-focus
topic_32,brand_highlands,3,topic-brand
topic_32,platform_facebook,2,topic-platform
topic_32,risk_app_payment_promotion,2,topic-risk
topic_32,confidence_medium,2,topic-confidence
topic_32,focus_phuc_long,1,topic-focus
topic_1,brand_highlands,3,topic-brand
topic_1,platform_tiktok,2,topic-platform
topic_1,risk_product_quality_risk,2,topic-risk
topic_1,confidence_medium,2,topic-confidence
topic_1,focus_phuc_long,1,topic-focus
topic_29,brand_highlands,3,topic-brand
topic_29,platform_tiktok,2,topic-platform
topic_29,risk_product_quality_risk,2,topic-risk
topic_29,confidence_medium,2,topic-confidence
topic_29,focus_phuc_long,1,topic-focus
topic_11,brand_highlands,3,topic-brand
topic_11,platform_tiktok,2,topic-platform
topic_11,risk_product_quality_risk,2,topic-risk
topic_11,confidence_medium,2,topic-confidence
topic_11,focus_phuc_long,1,topic-focus
topic_38,brand_highlands,3,topic-brand
topic_38,platform_tiktok,2,topic-platform
topic_38,risk_brand_content_signal,2,topic-risk
topic_38,confidence_medium,2,topic-confidence
topic_38,focus_no_phuc_long_signal,1,topic-focus
topic_10,brand_phuc_long,3,topic-brand
topic_10,platform_tiktok,2,topic-platform
topic_10,risk_product_quality_risk,2,topic-risk
topic_10,confidence_medium,2,topic-confidence
topic_10,focus_phuc_long,1,topic-focus
topic_40,brand_highlands,3,topic-brand
topic_40,platform_tiktok,2,topic-platform
topic_40,risk_price_promotion_risk,2,topic-risk
topic_40,confidence_medium,2,topic-confidence
topic_40,focus_phuc_long,1,topic-focus
topic_7,brand_highlands,3,topic-brand
topic_7,platform_tiktok,2,topic-platform
topic_7,risk_product_quality_risk,2,topic-risk
topic_7,confidence_low,2,topic-confidence
topic_7,focus_phuc_long,1,topic-focus
topic_2,brand_highlands,3,topic-brand
topic_2,platform_facebook,2,topic-platform
topic_2,risk_product_quality_risk,2,topic-risk
topic_2,confidence_low,2,topic-confidence
topic_2,focus_phuc_long,1,topic-focus
topic_39,brand_katinat,3,topic-brand
topic_39,platform_facebook,2,topic-platform
topic_39,risk_brand_content_signal,2,topic-risk
topic_39,confidence_low,2,topic-confidence
