id,label,group,value,title
topic_0,T0: minh / hay / ai / phạm,topic,768,Topic 0<br>Comments: 768<br>Positive: 141<br>Neutral: 602<br>Negative: 25<br>Risk: none
keyword_minh,minh,keyword,4,Keyword: minh
keyword_hay,hay,keyword,4,Keyword: hay
keyword_ai,ai,keyword,4,Keyword: ai
keyword_phạm,phạm,keyword,4,Keyword: phạm
keyword_nhận,nhận,keyword,4,Keyword: nhận
keyword_ủa,ủa,keyword,4,Keyword: ủa
brand_highlands,highlands,brand,10,brand: highlands
platform_tiktok,tiktok,platform,10,platform: tiktok
risk_none,none,risk,10,risk: none
sentiment_positive,positive,sentiment,12,Sentiment: positive
sentiment_neutral,neutral,sentiment,12,Sentiment: neutral
sentiment_negative,negative,sentiment,12,Sentiment: negative
topic_1,T1: ngon / uống / tuần / trà,topic,2606,Topic 1<br>Comments: 2606<br>Positive: 1245<br>Neutral: 1257<br>Negative: 104<br>Risk: none
keyword_ngon,ngon,keyword,4,Keyword: ngon
keyword_uống,uống,keyword,4,Keyword: uống
keyword_tuần,tuần,keyword,4,Keyword: tuần
keyword_trà,trà,keyword,4,Keyword: trà
keyword_ly,ly,keyword,4,Keyword: ly
keyword_cái,cái,keyword,4,Keyword: cái
topic_2,T2: phản / phản hồi / hồi / cả phản,topic,384,Topic 2<br>Comments: 384<br>Positive: 130<br>Neutral: 246<br>Negative: 8<br>Risk: none
keyword_phản,phản,keyword,4,Keyword: phản
keyword_phản hồi,phản hồi,keyword,4,Keyword: phản hồi
keyword_hồi,hồi,keyword,4,Keyword: hồi
keyword_cả phản,cả phản,keyword,4,Keyword: cả phản
keyword_tuầnxem,tuầnxem,keyword,4,Keyword: tuầnxem
keyword_tuần1xem,tuần1xem,keyword,4,Keyword: tuần1xem
platform_facebook,facebook,platform,10,platform: facebook
topic_3,T3: nguyễn / tuần / nguyễn thị / thị,topic,440,Topic 3<br>Comments: 440<br>Positive: 61<br>Neutral: 378<br>Negative: 1<br>Risk: none
keyword_nguyễn,nguyễn,keyword,4,Keyword: nguyễn
keyword_nguyễn thị,nguyễn thị,keyword,4,Keyword: nguyễn thị
keyword_thị,thị,keyword,4,Keyword: thị
keyword_tuần1,tuần1,keyword,4,Keyword: tuần1
keyword_ngọc,ngọc,keyword,4,Keyword: ngọc
topic_4,T4: mai / fan / phải / luôn,topic,511,Topic 4<br>Comments: 511<br>Positive: 94<br>Neutral: 402<br>Negative: 15<br>Risk: none
keyword_mai,mai,keyword,4,Keyword: mai
keyword_fan,fan,keyword,4,Keyword: fan
keyword_phải,phải,keyword,4,Keyword: phải
keyword_luôn,luôn,keyword,4,Keyword: luôn
keyword_châu,châu,keyword,4,Keyword: châu
keyword_trân,trân,keyword,4,Keyword: trân
topic_5,T5: tuyệt / tuyệt vời / vời / đẹp,topic,45,Topic 5<br>Comments: 45<br>Positive: 45<br>Neutral: 0<br>Negative: 0<br>Risk: none
keyword_tuyệt,tuyệt,keyword,4,Keyword: tuyệt
keyword_tuyệt vời,tuyệt vời,keyword,4,Keyword: tuyệt vời
keyword_vời,vời,keyword,4,Keyword: vời
keyword_đẹp,đẹp,keyword,4,Keyword: đẹp
keyword_thật,thật,keyword,4,Keyword: thật
brand_katinat,katinat,brand,10,brand: katinat
topic_6,T6: chia sẻ / sẻ / lượt chia / lượt,topic,60,Topic 6<br>Comments: 60<br>Positive: 0<br>Neutral: 60<br>Negative: 0<br>Risk: none
keyword_chia sẻ,chia sẻ,keyword,4,Keyword: chia sẻ
keyword_sẻ,sẻ,keyword,4,Keyword: sẻ
keyword_lượt chia,lượt chia,keyword,4,Keyword: lượt chia
keyword_lượt,lượt,keyword,4,Keyword: lượt
keyword_chia,chia,keyword,4,Keyword: chia
keyword_15,15,keyword,4,Keyword: 15
