topic_id,topic_label,keywords,comment_count,positive_count,neutral_count,negative_count,top_brand,top_platform,top_risk_group
0,minh / hay / ai / phạm,"minh, hay, ai, phạm, nhận, ủa, vé, người, katinat, nhỉ",768,141,602,25,highlands,tiktok,none
1,ngon / uống / tuần / trà,"ngon, uống, tuần, trà, ly, cái, mua, long, mới, thấy",2606,1245,1257,104,highlands,tiktok,none
2,phản / phản hồi / hồi / cả phản,"phản, phản hồi, hồi, cả phản, tuầnxem, tuần1xem, tất, tất cả, cả, tuầnxem phản",384,130,246,8,highlands,facebook,none
3,nguyễn / tuần / nguyễn thị / thị,"nguyễn, tuần, nguyễn thị, thị, tuần1, ngọc, kim, lan, thanh, bảo",440,61,378,1,highlands,facebook,none
4,mai / fan / phải / luôn,"mai, fan, phải, luôn, châu, trân, bà, trân châu, thử, tuần",511,94,402,15,highlands,facebook,none
5,tuyệt / tuyệt vời / vời / đẹp,"tuyệt, tuyệt vời, vời, đẹp, luôn, thật, ngon, uống, katinat, lun",45,45,0,0,katinat,tiktok,none
6,chia sẻ / sẻ / lượt chia / lượt,"chia sẻ, sẻ, lượt chia, lượt, chia, 15, 11, 14, 10, 18",60,0,60,0,highlands,facebook,none
7,trai / đẹp / nhân viên / viên,"trai, đẹp, nhân viên, viên, nhân, luôn, vậy, xem, đang, nè",34,33,1,0,highlands,tiktok,none
8,sẻ công / đã chia / công khai / khai,"sẻ công, đã chia, công khai, khai, đã, công, tháng, sẻ, chia sẻ, tháng đã",138,14,123,1,katinat,facebook,none
9,đẹp / highlands / giá / dụng,"đẹp, highlands, giá, dụng, hàng, katinat, từ, matcha, áp, áp dụng",1573,640,864,69,highlands,facebook,none
10,cả cảm / cảm xúc / xúc / cảm,"cả cảm, cảm xúc, xúc, cảm, tất, tất cả, cả, 500, ib, khanh",108,0,108,0,highlands,facebook,none
11,thích / bảo / hồng / tao,"thích, bảo, hồng, tao, lại, fl, nam, xinh, huyền, tui",2724,578,2045,101,highlands,tiktok,none
12,cả cảm / cảm xúc / xúc / cảm,"cả cảm, cảm xúc, xúc, cảm, tất cả, tất, cả, lượt chia, lượt, chia",149,17,132,0,highlands,facebook,none
13,bình luận / luận / bình / xem,"bình luận, luận, bình, xem, thêm, 25, 36, 11, 15, 18",101,2,99,0,highlands,facebook,none
14,sẻthíchbình luận / sẻthíchbình / chia sẻthíchbình / luận,"sẻthíchbình luận, sẻthíchbình, chia sẻthíchbình, luận, cả cảm, cảm xúc, xúc, lượt chia, lượt, cảm",124,124,0,0,highlands,facebook,none
15,chia sẻ / sẻ / lượt chia / lượt,"chia sẻ, sẻ, lượt chia, lượt, chia, bình, luận5 lượt, bình luận5, luận5, luận6",111,0,111,0,highlands,facebook,none
16,tuần1 / nguyen / ngọc / tháng,"tuần1, nguyen, ngọc, tháng, phương, trần, lê, thanh, hoàng, thảo",1204,181,1002,21,highlands,facebook,none
17,quán / đâu / bán / ngọt,"quán, đâu, bán, ngọt, mở, xin, chi, nhánh, bị, chi nhánh",920,242,631,47,highlands,tiktok,none
