topic_id,topic_label,bertopic_label,keywords,comment_count,positive_count,neutral_count,negative_count,negative_ratio,top_brand,phuc_long_ratio,brand_purity_proxy,top_platform,top_risk_group,taxonomy_alignment_score,avg_cluster_probability,keyword_quality_score,noise_keyword_ratio,strategic_keyword_ratio,representative_comment_quality,volume_score,sentiment_clarity_score,risk_clarity_score,topic_reliability_score,decision_confidence,noisy_topic_flag,management_usefulness,taxonomy_score_map
36,product_taste_quality,mật / ong / mật ong / bưởi / bưởi mật,"mật, ong, mật ong, bưởi, bưởi mật, trà bưởi, hồng trà, hồng, trà, yến mạch",39,34,5,0,0.0,phuc_long,0.9231,0.9231,facebook,product_quality_risk,0.4783,0.8884,0.42,0.1,0.3,0.6,0.026,0.8718,1.0,0.6774,medium,False,use_with_human_review,"{""product_taste_quality"": 11, ""price_promotion"": 3, ""app_payment_order"": 0, ""service_store_staff"": 1, ""delivery_waiting"": 1, ""branch_availability"": 4, ""brand_love_content"": 3}"
42,product_taste_quality,sáng / ăn / bữa / kiểu này / gọn,"sáng, ăn, bữa, kiểu này, gọn, kiểu, tiện, hợp lý, chất lượng, lý",30,11,19,0,0.0,phuc_long,0.9333,0.9333,tiktok,product_quality_risk,0.4615,1.0,0.28,0.0,0.1,0.6,0.02,0.6333,1.0,0.6481,medium,True,use_with_human_review,"{""product_taste_quality"": 6, ""price_promotion"": 2, ""app_payment_order"": 0, ""service_store_staff"": 2, ""delivery_waiting"": 1, ""branch_availability"": 1, ""brand_love_content"": 1}"
32,price_promotion,mã / mã giảm / có mã / giảm giá / giảm,"mã, mã giảm, có mã, giảm giá, giảm, giá, được mã, nhận, nhận được, cần",43,12,24,7,0.1628,highlands,0.186,0.7674,facebook,app_payment_promotion,0.5,0.7914,0.76,0.0,0.7,0.6,0.0287,0.5581,1.0,0.5973,medium,False,use_with_human_review,"{""product_taste_quality"": 3, ""price_promotion"": 9, ""app_payment_order"": 2, ""service_store_staff"": 1, ""delivery_waiting"": 0, ""branch_availability"": 2, ""brand_love_content"": 1}"
1,product_taste_quality,trà / trà sen / sen / sen vàng / vàng,"trà, trà sen, sen, sen vàng, vàng, vải, đào, ngon, uống, dưa hấu",455,198,235,22,0.0484,highlands,0.2945,0.6725,tiktok,product_quality_risk,0.8235,0.4026,0.52,0.0,0.4,0.6,0.3033,0.5165,1.0,0.5721,medium,False,use_with_human_review,"{""product_taste_quality"": 14, ""price_promotion"": 1, ""app_payment_order"": 0, ""service_store_staff"": 0, ""delivery_waiting"": 0, ""branch_availability"": 0, ""brand_love_content"": 2}"
29,product_taste_quality,món mới / món / ra món / mới nè / có món,"món mới, món, ra món, mới nè, có món, thử, nè, thử món, muốn thử, dung",48,10,37,1,0.0208,highlands,0.1875,0.5625,tiktok,product_quality_risk,0.5833,0.6757,0.6,0.0,0.5,0.6,0.032,0.7708,1.0,0.572,medium,False,use_with_human_review,"{""product_taste_quality"": 7, ""price_promotion"": 1, ""app_payment_order"": 0, ""service_store_staff"": 0, ""delivery_waiting"": 2, ""branch_availability"": 1, ""brand_love_content"": 1}"
11,product_taste_quality,ngọt / ngon / ăn / bánh / vị,"ngọt, ngon, ăn, bánh, vị, xoài, hơi, đác, món, thơm",215,133,77,5,0.0233,highlands,0.3907,0.507,tiktok,product_quality_risk,0.6,0.5822,0.6,0.0,0.5,0.6,0.1433,0.6186,1.0,0.5661,medium,False,use_with_human_review,"{""product_taste_quality"": 15, ""price_promotion"": 3, ""app_payment_order"": 1, ""service_store_staff"": 0, ""delivery_waiting"": 0, ""branch_availability"": 1, ""brand_love_content"": 5}"
38,brand_love_content,nhạc / tên / gì vậy / cảnh / gì,"nhạc, tên, gì vậy, cảnh, gì, hay quá, là gì, tên gì, vậy, ad",32,9,23,0,0.0,highlands,0.0,0.7812,tiktok,brand_content_signal,0.5,0.9613,0.36,0.0,0.2,0.6,0.0213,0.7188,1.0,0.5613,medium,False,use_with_human_review,"{""product_taste_quality"": 2, ""price_promotion"": 3, ""app_payment_order"": 0, ""service_store_staff"": 0, ""delivery_waiting"": 0, ""branch_availability"": 1, ""brand_love_content"": 6}"
10,product_taste_quality,bánh mì / mì / bánh / ăn / sandwich,"bánh mì, mì, bánh, ăn, sandwich, giòn, thịt, nhìn, nóng, croissant",239,99,134,6,0.0251,phuc_long,0.8243,0.8243,tiktok,product_quality_risk,0.6923,0.3656,0.2,0.0,0.0,0.6,0.1593,0.5607,1.0,0.5603,medium,True,use_with_human_review,"{""product_taste_quality"": 9, ""price_promotion"": 0, ""app_payment_order"": 0, ""service_store_staff"": 0, ""delivery_waiting"": 0, ""branch_availability"": 2, ""brand_love_content"": 2}"
40,price_promotion,mở cửa / mở / mấy / cửa / giờ,"mở cửa, mở, mấy, cửa, giờ, quán, đóng, hỏi, lúc, vậy",31,4,27,0,0.0,highlands,0.2258,0.4516,tiktok,price_promotion_risk,0.4,0.9736,0.38,0.0,0.0,0.6,0.0207,0.871,1.0,0.5529,medium,False,use_with_human_review,"{""product_taste_quality"": 1, ""price_promotion"": 4, ""app_payment_order"": 0, ""service_store_staff"": 0, ""delivery_waiting"": 1, ""branch_availability"": 4, ""brand_love_content"": 0}"
7,product_taste_quality,đẹp / ngon / nhìn / đẹp quá / xinh,"đẹp, ngon, nhìn, đẹp quá, xinh, lắm, thấy ngon, ngon lắm, ngon quá, thử",278,244,32,2,0.0072,highlands,0.2302,0.4424,tiktok,product_quality_risk,0.4444,0.5586,0.635,0.1,0.4,0.6,0.1853,0.8777,1.0,0.5453,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 8, ""price_promotion"": 1, ""app_payment_order"": 0, ""service_store_staff"": 0, ""delivery_waiting"": 1, ""branch_availability"": 1, ""brand_love_content"": 7}"
